"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",-4.00492811037792,-3.98016,-3.90290259971744,1520.8,0.95,-4.96441,-3.14354,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",-2.12107631273745,-2.10592,-2.00924755724246,2933.5,0.95,-2.87408,-1.44448,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",-0.9562825015017,-0.95123,-0.98691854613615,3648.3,0.95,-1.59377,-0.329614,NA,NA,NA,NA,NA,NA,NA
"beta[1,1]",-4.90048627074585,-4.87424,-4.8479049174756,1536.8,0.95,-5.89227,-3.82119,NA,NA,NA,NA,NA,NA,NA
"beta[2,1]",0.739426480163967,0.731301,0.694313949441799,4209.9,0.95,0.181053,1.35705,NA,NA,NA,NA,NA,NA,NA
"beta[3,1]",2.99420833833233,2.96656,2.95243232098686,4008.4,0.95,2.03785,3.96294,NA,NA,NA,NA,NA,NA,NA
"beta[1,2]",0.010421824240072,0.0101681,-0.019641849761572,5001,0.95,-0.362308,0.404125,NA,NA,NA,NA,NA,NA,NA
"beta[2,2]",-5.2093875424915,-5.18088,-5.12474078071679,3064.3,0.95,-6.58567,-4.0486,NA,NA,NA,NA,NA,NA,NA
"beta[3,2]",3.09502020795841,3.07106,3.05884009937586,3276.7,0.95,2.12981,4.17228,NA,NA,NA,NA,NA,NA,NA
"zbeta0[1]",-4.00492811037792,-3.98016,-3.90290259971744,1520.8,0.95,-4.96441,-3.14354,NA,NA,NA,NA,NA,NA,NA
"zbeta0[2]",-2.12107631273745,-2.10592,-2.00924755724246,2933.5,0.95,-2.87408,-1.44448,NA,NA,NA,NA,NA,NA,NA
"zbeta0[3]",-0.9562825015017,-0.95123,-0.98691854613615,3648.3,0.95,-1.59377,-0.329614,NA,NA,NA,NA,NA,NA,NA
"zbeta[1,1]",-4.90048627074585,-4.87424,-4.8479049174756,1536.8,0.95,-5.89227,-3.82119,NA,NA,NA,NA,NA,NA,NA
"zbeta[2,1]",0.739426480163967,0.731301,0.694313949441799,4209.9,0.95,0.181053,1.35705,NA,NA,NA,NA,NA,NA,NA
"zbeta[3,1]",2.99420833833233,2.96656,2.95243232098686,4008.4,0.95,2.03785,3.96294,NA,NA,NA,NA,NA,NA,NA
"zbeta[1,2]",0.010421824240072,0.0101681,-0.019641849761572,5001,0.95,-0.362308,0.404125,NA,NA,NA,NA,NA,NA,NA
"zbeta[2,2]",-5.2093875424915,-5.18088,-5.12474078071679,3064.3,0.95,-6.58567,-4.0486,NA,NA,NA,NA,NA,NA,NA
"zbeta[3,2]",3.09502020795841,3.07106,3.05884009937586,3276.7,0.95,2.12981,4.17228,NA,NA,NA,NA,NA,NA,NA
