"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",50174.28460077,50020,49549.0723315678,14513.6,0.95,41452,59971.7,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",74110.5550072496,74166.8,74725.5770128299,17662.8,0.95,65071.5,82994.8,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",55259.9568371581,54964,54298.4025564563,10987,0.95,46353.7,64796.1,NA,NA,NA,NA,NA,NA,NA
"beta0[4]",43813.5727163642,43602.6,43574.2182798786,12734.6,0.95,34982.9,52977.9,NA,NA,NA,NA,NA,NA,NA
"beta0[5]",63401.2983300835,63308.4,63521.4739263821,13292.8,0.95,54988.5,72839.8,NA,NA,NA,NA,NA,NA,NA
"beta0[6]",64824.4182740863,64769.6,64320.8188913739,17158.9,0.95,55928,73784.9,NA,NA,NA,NA,NA,NA,NA
"beta0[7]",80549.2529323534,80647.1,81123.0936538203,17728.9,0.95,70657.3,90203.3,NA,NA,NA,NA,NA,NA,NA
"beta0[8]",66340.0818659067,66393.5,66547.7437823405,17581.5,0.95,56748.5,75723.1,NA,NA,NA,NA,NA,NA,NA
"beta0[9]",59935.5417329134,59564,58859.0718845063,6657.2,0.95,48839.3,71488.2,NA,NA,NA,NA,NA,NA,NA
"beta0[10]",54401.6248037598,54462.7,54242.3274644193,16393.4,0.95,45203.7,63228.9,NA,NA,NA,NA,NA,NA,NA
"beta0[11]",55187.0666116694,55042.5,55080.7501341205,13830.8,0.95,46397.2,64246.7,NA,NA,NA,NA,NA,NA,NA
"beta0[12]",73759.6474126294,74367.5,75428.4081027725,5301.9,0.95,62018.9,84421.4,NA,NA,NA,NA,NA,NA,NA
"beta0[13]",49781.6598870056,49756.6,49029.9651633287,18187.6,0.95,41271.3,58907.7,NA,NA,NA,NA,NA,NA,NA
"beta0[14]",64120.7348582571,64141.7,64296.9978156791,17619.8,0.95,54721.7,72951,NA,NA,NA,NA,NA,NA,NA
"beta0[15]",55639.4693315334,55609.7,55352.5614064572,17102.4,0.95,46661.6,64671.5,NA,NA,NA,NA,NA,NA,NA
"beta0[16]",57627.3271686416,57424.3,56801.0248307389,14808.5,0.95,48700,67191.1,NA,NA,NA,NA,NA,NA,NA
"beta0[17]",57736.6176541173,57544.6,56773.5617534356,13847.4,0.95,48748.8,66840.4,NA,NA,NA,NA,NA,NA,NA
"beta0[18]",49257.5346982651,49281.7,49336.5952569653,16849.5,0.95,40047.2,58337.4,NA,NA,NA,NA,NA,NA,NA
"beta0[19]",50324.4494425279,50235.2,50432.0221306871,17733.3,0.95,41522.3,59754.5,NA,NA,NA,NA,NA,NA,NA
"beta0[20]",55891.5385330733,56008.5,56024.2666196084,16867.9,0.95,46836.8,64976.4,NA,NA,NA,NA,NA,NA,NA
"beta0[21]",80237.4516024199,80504.8,80957.6357421035,10411.6,0.95,69994,89418.9,NA,NA,NA,NA,NA,NA,NA
"beta0[22]",80269.8193690316,80887.9,82085.4242439134,5273.5,0.95,67632.5,91103.5,NA,NA,NA,NA,NA,NA,NA
"beta0[23]",56806.1667416629,56704,56981.0902849674,17456.3,0.95,47637.2,65869.9,NA,NA,NA,NA,NA,NA,NA
"beta0[24]",68442.2757362132,68459.8,68613.7694961889,19037.8,0.95,58670.8,77567.5,NA,NA,NA,NA,NA,NA,NA
"beta0[25]",42403.3792610369,42156.1,41550.745047002,12992.2,0.95,33482.8,51857.9,NA,NA,NA,NA,NA,NA,NA
"beta0[26]",55370.2114494275,55346,55245.6117988689,19221.2,0.95,46324,64318.3,NA,NA,NA,NA,NA,NA,NA
"beta0[27]",53310.8724963752,53244.9,53072.5000083183,17783.9,0.95,44767.1,62598.3,NA,NA,NA,NA,NA,NA,NA
"beta0[28]",58627.183160842,58602.1,58835.4616419739,17359,0.95,49715.7,67527.9,NA,NA,NA,NA,NA,NA,NA
"beta0[29]",60094.1642167892,60170.9,60074.139942186,17750.7,0.95,51163.3,69015.3,NA,NA,NA,NA,NA,NA,NA
"beta0[30]",75163.9614569272,75535.1,76847.2299406165,7817.3,0.95,64058,84883.2,NA,NA,NA,NA,NA,NA,NA
"beta0[31]",82011.5008649567,82410.3,82999.0549485474,8656.2,0.95,70990.2,91782.2,NA,NA,NA,NA,NA,NA,NA
"beta0[32]",48235.6407629619,48278.3,48530.0693477691,18547.5,0.95,39099.4,56857.9,NA,NA,NA,NA,NA,NA,NA
"beta0[33]",64814.7718714064,65020.8,65741.9032065717,12398.8,0.95,55050.3,73925.8,NA,NA,NA,NA,NA,NA,NA
"beta0[34]",52002.0842957852,51779.7,51430.9718691408,13379.1,0.95,42934.5,61224.2,NA,NA,NA,NA,NA,NA,NA
"beta0[35]",57408.281820909,57184.1,57190.634439478,15155.8,0.95,47956.7,67133.4,NA,NA,NA,NA,NA,NA,NA
"beta0[36]",57453.0366181691,57567.8,57742.2490897005,14318,0.95,48202,66489,NA,NA,NA,NA,NA,NA,NA
"beta0[37]",49520.1468776561,49320.4,49165.5145096364,12764.5,0.95,40568.8,58581.2,NA,NA,NA,NA,NA,NA,NA
"beta0[38]",57236.9356082196,57264.9,57608.6969220419,18786.5,0.95,48259.7,66074,NA,NA,NA,NA,NA,NA,NA
"beta0[39]",60846.801279936,60911,61799.7737576231,17910.3,0.95,51329.1,70094.6,NA,NA,NA,NA,NA,NA,NA
"beta0[40]",19084.5490629969,18963.6,18515.1519871821,17925,0.95,10413.6,27999.3,NA,NA,NA,NA,NA,NA,NA
"beta0[41]",68551.4532923354,68596.3,68414.3486833653,16662.4,0.95,59339.7,78109.5,NA,NA,NA,NA,NA,NA,NA
"beta0[42]",51836.4755562222,51687.6,51232.735149303,17252.2,0.95,43250.1,61076.5,NA,NA,NA,NA,NA,NA,NA
"beta0[43]",55789.1560371981,55609.8,55044.3724860439,14912.8,0.95,46785.7,65098.1,NA,NA,NA,NA,NA,NA,NA
"beta0[44]",50056.8531223439,49971.7,50076.8969724777,18075.5,0.95,40759,59048.3,NA,NA,NA,NA,NA,NA,NA
"beta0[45]",52773.2219189041,52501.2,51889.9592876672,9977.6,0.95,43907.2,62610.1,NA,NA,NA,NA,NA,NA,NA
"beta0[46]",59393.6766061697,59750.7,60857.5977861742,7595.7,0.95,48961,68395.7,NA,NA,NA,NA,NA,NA,NA
"beta0[47]",60077.0263336833,59983.3,59594.7304893056,19234.8,0.95,50816,69190.9,NA,NA,NA,NA,NA,NA,NA
"beta0[48]",69072.7251287436,69267.1,69522.2326096218,13480.3,0.95,59430.3,78020.6,NA,NA,NA,NA,NA,NA,NA
"beta0[49]",64743.9290085496,64599.2,64575.7332296578,14059.3,0.95,55806.8,73963.5,NA,NA,NA,NA,NA,NA,NA
"beta0[50]",46569.2058547073,46495.5,46610.689218113,17527.1,0.95,37838.2,55641.1,NA,NA,NA,NA,NA,NA,NA
