"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99725758340492,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",62.3484460827834,61.347,57.7013295382893,624,0.95,27.8171,96.655,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-0.032430499880024,-0.0319432,-0.030044933438905,608.8,0.95,-0.0503104,-0.0140234,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.0486255179964007,0.0482017,0.0473490169602044,388.3,0.95,0.027565,0.0689733,NA,NA,NA,NA,NA,NA,NA
"sigma",0.895392219956009,0.897885,0.930133395503525,268.5,0.95,0.507109,1.22956,NA,NA,NA,NA,NA,NA,NA
"thresh[1]",1.5,1.5,1.49855714478939,0,0.95,1.5,1.5,NA,NA,NA,NA,NA,NA,NA
"thresh[2]",2.25508900619876,2.24227,2.23182582312608,369.5,0.95,1.86627,2.64664,NA,NA,NA,NA,NA,NA,NA
"thresh[3]",2.96630341331734,2.97221,3.01720223492881,199.6,0.95,2.37747,3.49449,NA,NA,NA,NA,NA,NA,NA
"thresh[4]",3.87269811637672,3.89948,3.94553268982609,167,0.95,3.05307,4.64815,NA,NA,NA,NA,NA,NA,NA
"thresh[5]",6.32834598880224,5.97491,5.66716936280105,760,0.95,4.3902,9.15793,NA,NA,NA,NA,NA,NA,NA
"thresh[6]",6.5,6.5,6.49374762742067,0,0.95,6.5,6.5,NA,NA,NA,NA,NA,NA,NA
"zbeta0",3.1824724515097,3.19471,3.2585642493453,159.2,0.95,2.63171,3.78199,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-0.587965369746051,-0.57913,-0.544713944058755,608.8,0.95,-0.912129,-0.254244,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.887767129974005,0.88003,0.864456620149261,388.3,0.95,0.50326,1.25926,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.895392219956009,0.897885,0.930133395503525,268.5,0.95,0.507109,1.22956,NA,NA,NA,NA,NA,NA,NA
"alpha",0.16095212865027,0.157565,0.139303969633373,866.1,0.95,0.0198661,0.298662,NA,NA,NA,NA,NA,NA,NA
