"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99725758340492,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",57.590725494901,57.0746,57.4563753578948,1031.3,0.95,26.0754,88.1828,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-0.0296034173825235,-0.0293983,-0.0296067234151841,1015,0.95,-0.0453983,-0.0130168,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.0419399350529894,0.0416704,0.0394536147624429,955,0.95,0.0256036,0.0594714,NA,NA,NA,NA,NA,NA,NA
"sigma",1.02109545130974,1.03358,1.08104533318661,234.4,0.95,0.612977,1.42855,NA,NA,NA,NA,NA,NA,NA
"thresh[1]",1.5,1.5,1.49855714478939,0,0.95,1.5,1.5,NA,NA,NA,NA,NA,NA,NA
"thresh[2]",2.37499090581884,2.35924,2.33699475111818,365.1,0.95,1.99664,2.79313,NA,NA,NA,NA,NA,NA,NA
"thresh[3]",3.13433771445711,3.13085,3.1476483372027,181.4,0.95,2.65991,3.64747,NA,NA,NA,NA,NA,NA,NA
"thresh[4]",4.05203302139572,4.0543,3.99007300997936,152.4,0.95,3.41288,4.68395,NA,NA,NA,NA,NA,NA,NA
"thresh[5]",5.37616200959808,5.41563,5.51600653641274,223.2,0.95,4.61354,6.04015,NA,NA,NA,NA,NA,NA,NA
"thresh[6]",6.5,6.5,6.49374762742067,0,0.95,6.5,6.5,NA,NA,NA,NA,NA,NA,NA
"zbeta0",3.35523280543891,3.35806,3.39264874861638,174.6,0.95,2.83074,3.845,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-0.536710329534093,-0.532992,-0.536768204984553,1015,0.95,-0.823071,-0.235994,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.765706912017596,0.760785,0.720314937424167,955,0.95,0.467452,1.08578,NA,NA,NA,NA,NA,NA,NA
"zsigma",1.02109545130974,1.03358,1.08104533318661,234.4,0.95,0.612977,1.42855,NA,NA,NA,NA,NA,NA,NA
