"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",28.6258953933333,28.62485,28.4910059709533,15000,0.95,26.7178,30.705,NA,NA,NA,NA,NA,NA,NA
"b1[1] f",13.8634438433333,13.8572,13.663155242877,15000,0.95,9.48468,18.2029,NA,NA,NA,NA,NA,NA,NA
"b1[2] fF",4.742477555998,4.74761,4.49593182999796,16098,0.95,0.443084,9.25181,NA,NA,NA,NA,NA,NA,NA
"b1[3] L",-9.18735764946667,-9.189965,-8.92043016112642,15818.2,0.95,-13.3934,-4.6216,NA,NA,NA,NA,NA,NA,NA
"b1[4] Lf",-11.85842252,-11.8739,-12.0479179538329,14581.4,0.95,-16.275,-7.56982,NA,NA,NA,NA,NA,NA,NA
"b1[5] LfF",-20.4746368126667,-20.48545,-20.5581850000734,15000,0.95,-24.8624,-16.0582,NA,NA,NA,NA,NA,NA,NA
"b1[6] None",22.9144952733333,22.9273,23.1346579960683,15000,0.95,18.6107,27.4464,NA,NA,NA,NA,NA,NA,NA
"b2[1] A",-18.52060712,-18.54265,-18.4277733867354,15000,0.95,-23.7821,-13.4614,NA,NA,NA,NA,NA,NA,NA
"b2[2] B",-14.8501037266667,-14.85105,-14.6776080553514,15431.6,0.95,-19.8808,-9.52027,NA,NA,NA,NA,NA,NA,NA
"b2[3] C",12.2115853994,12.22615,12.3858178203349,15000,0.95,6.97353,17.3058,NA,NA,NA,NA,NA,NA,NA
"b2[4] D",25.5775688266667,25.59975,25.681099431276,15000,0.95,20.2305,30.9223,NA,NA,NA,NA,NA,NA,NA
"b2[5] E",-4.2555050875935,-4.240685,-4.26184860159732,15000,0.95,-9.21679,1.04492,NA,NA,NA,NA,NA,NA,NA
"b2[6] F",8.313565137418,8.357915,8.56943421850548,15398.3,0.95,3.19929,13.5379,NA,NA,NA,NA,NA,NA,NA
"b2[7] G",-5.42368468659133,-5.421065,-5.11667627667417,15000,0.95,-10.6197,-0.367533,NA,NA,NA,NA,NA,NA,NA
"b2[8] H",-3.05281803611367,-3.0448,-3.42242672268722,15000,0.95,-8.22042,2.17156,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,1] f A",-3.01784300154213,-2.797205,-1.19263789541118,11327.7,0.95,-11.2049,5.10039,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,1] fF A",-1.39698053683927,-1.29204,-0.7041719264985,12823.6,0.95,-9.51541,6.74409,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,1] L A",1.8972622335156,1.760865,0.642594435051439,13886,0.95,-5.98243,10.2979,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,1] Lf A",3.20407940881147,3.048025,2.37916725156867,9553.9,0.95,-5.09649,11.4439,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,1] LfF A",6.24743823028107,6.064485,5.57086617840323,5644.9,0.95,-2.1448,15.2621,NA,NA,NA,NA,NA,NA,NA
"b1b2[6,1] None A",-6.93395635584953,-6.7988,-6.70394500861739,5089.5,0.95,-16.3732,1.78347,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,2] f B",-2.34583185423375,-2.150955,-1.66071533085482,12817.7,0.95,-10.6713,5.54418,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,2] fF B",-2.7214832753672,-2.541245,-2.05342096504853,13107.7,0.95,-10.9994,5.2341,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,2] L B",1.73059204777814,1.555105,0.682625810295818,12089.8,0.95,-6.37547,10.0212,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,2] Lf B",1.57929424508623,1.463665,0.504121941106337,13859.3,0.95,-6.47544,9.7095,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,2] LfF B",5.6341603482592,5.46484,4.42391027891467,6761.9,0.95,-2.50819,14.8244,NA,NA,NA,NA,NA,NA,NA
"b1b2[6,2] None B",-3.87673158594573,-3.66957,-3.6048301303576,8895.9,0.95,-12.4369,4.1319,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,3] f C",0.0743558037626667,0.0296645,-0.101612643440991,15000,0.95,-7.94756,8.13658,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,3] fF C",0.409666033131267,0.367571,0.192382216210923,15000,0.95,-7.52306,8.56554,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,3] L C",5.39764364809693,5.21792,4.71600256914126,6096.3,0.95,-2.69918,14.6242,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,3] Lf C",-4.4088487225854,-4.237625,-3.98948151841871,7691.8,0.95,-13.062,3.80989,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,3] LfF C",-6.2252543859648,-6.051195,-6.05517401525173,5549.8,0.95,-15.1839,2.26726,NA,NA,NA,NA,NA,NA,NA
"b1b2[6,3] None C",4.75243761418907,4.558585,3.98436505802014,7464.6,0.95,-3.69837,13.2267,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,4] f D",8.1414772561106,8.080175,7.80840329249907,4407.2,0.95,-1.41975,17.4451,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,4] fF D",2.53294661766308,2.319365,1.2396621928336,11660.7,0.95,-5.24101,11.1317,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,4] L D",-7.072805073798,-6.98314,-7.08107903117814,5248,0.95,-16.1584,1.85462,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,4] Lf D",-1.89228766391947,-1.728055,-1.16195929730806,14207.1,0.95,-10.251,5.86647,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,4] LfF D",-9.47247038905787,-9.450735,-9.93528102353911,3600.6,0.95,-19.1087,0.951681,NA,NA,NA,NA,NA,NA,NA
"b1b2[6,4] None D",7.76313902284973,7.656925,7.34142700556028,4575.2,0.95,-1.20082,17.1276,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,5] f E",-2.33584126688527,-2.190325,-0.83363559038396,13684.6,0.95,-10.7488,5.32034,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,5] fF E",2.3447519380024,2.176885,1.83481042396229,12566.9,0.95,-5.44574,10.8513,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,5] L E",3.51721167009593,3.40401,3.66051644673245,9406.6,0.95,-4.44386,11.7921,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,5] Lf E",-2.50753633650713,-2.33907,-1.82864049592201,12189.8,0.95,-10.839,5.28545,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,5] LfF E",0.992689299183,0.885905,0.312469074157644,14167.6,0.95,-6.84011,9.19112,NA,NA,NA,NA,NA,NA,NA
"b1b2[6,5] None E",-2.0112753680188,-1.85758,-1.55150713970396,12477.7,0.95,-10.0513,6.08905,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,6] f F",-2.79972838390453,-2.662975,-2.24322188138375,11296.4,0.95,-11.1776,4.98188,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,6] fF F",-1.09721866016707,-1.023,-0.270185507632373,15000,0.95,-8.86233,7.25455,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,6] L F",-2.10023404517727,-1.980325,-1.79491879798375,12402,0.95,-10.264,5.94064,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,6] Lf F",4.5556023958778,4.389255,4.03714756059403,8411.3,0.95,-3.84482,13.1365,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,6] LfF F",-1.4153093241464,-1.31074,-0.885074078158048,14344.8,0.95,-9.56137,6.56513,NA,NA,NA,NA,NA,NA,NA
"b1b2[6,6] None F",2.85688787109287,2.742515,2.13951694127193,11201.7,0.95,-5.29008,10.7331,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,7] f G",5.24599089301172,5.044835,4.80417281367594,7747.6,0.95,-2.85463,14.2159,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,7] fF G",2.2887787318558,2.12898,1.78566970111646,13587.9,0.95,-5.60068,10.6992,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,7] L G",-3.26517934174906,-3.106115,-3.00909315143682,10582.8,0.95,-11.7003,4.53169,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,7] Lf G",-1.41629944080047,-1.27351,-0.747882748898395,14077.2,0.95,-10.0714,6.30523,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,7] LfF G",3.61675953710067,3.445635,2.84769674215177,9432,0.95,-4.19127,12.4437,NA,NA,NA,NA,NA,NA,NA
"b1b2[6,7] None G",-6.470050690588,-6.302925,-5.92760299169646,5347.5,0.95,-15.4243,2.27965,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,8] f H",-2.9625793731894,-2.78959,-2.10792624774263,10089.5,0.95,-11.3922,4.78676,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,8] fF H",-2.36046087300213,-2.22136,-1.11889741675917,12360.6,0.95,-10.5966,5.53496,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,8] L H",-0.104491077090933,-0.11173,-0.0719995846817234,15000,0.95,-7.93962,8.17203,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,8] Lf H",0.885996083413333,0.7338395,0.290475372755957,15000,0.95,-6.82794,9.13053,NA,NA,NA,NA,NA,NA,NA
"b1b2[5,8] LfF H",0.621986371743667,0.532371,0.246805693420797,15000,0.95,-7.3562,8.86198,NA,NA,NA,NA,NA,NA,NA
"b1b2[6,8] None H",3.91954892265927,3.739085,3.29646119275653,9594.3,0.95,-4.19425,12.5508,NA,NA,NA,NA,NA,NA,NA
"m[1,1] f A",20.950888674,20.9355,20.885878384028,12994.3,0.95,10.2563,32.0901,NA,NA,NA,NA,NA,NA,NA
"m[2,1] fF A",13.4507850286067,13.4927,13.8540489619191,14301.4,0.95,3.11654,24.6519,NA,NA,NA,NA,NA,NA,NA
"m[3,1] L A",2.81519261988373,2.723445,2.04111888047494,15000,0.95,-7.92753,13.3022,NA,NA,NA,NA,NA,NA,NA
"m[4,1] Lf A",1.450944938834,1.348825,0.620383024971829,12304.4,0.95,-9.05879,12.49,NA,NA,NA,NA,NA,NA,NA
"m[5,1] LfF A",-4.121910221338,-4.163935,-3.83676077969452,7469.1,0.95,-15.5159,6.81814,NA,NA,NA,NA,NA,NA,NA
"m[6,1] None A",26.0858273426667,26.1121,26.4561788248937,6749.7,0.95,14.0218,37.3391,NA,NA,NA,NA,NA,NA,NA
"m[1,2] f B",25.293403384,25.3773,25.8526770060447,15000,0.95,14.261,35.8559,NA,NA,NA,NA,NA,NA,NA
"m[2,2] fF B",15.796785515404,15.79205,15.338030354482,12954.4,0.95,5.01248,26.2654,NA,NA,NA,NA,NA,NA,NA
"m[3,2] L B",6.31902600389667,6.35043,6.84596763433306,11950.6,0.95,-4.31654,17.0618,NA,NA,NA,NA,NA,NA,NA
"m[4,2] Lf B",3.4966634276328,3.46827,3.92909791581949,15000,0.95,-7.10609,14.1443,NA,NA,NA,NA,NA,NA,NA
"m[5,2] LfF B",-1.06468460853093,-1.1067,-2.11004917399148,9263.5,0.95,-12.6726,9.72475,NA,NA,NA,NA,NA,NA,NA
"m[6,2] None B",32.8135550746667,32.84615,31.9855588476439,11787.8,0.95,22.2952,44.1953,NA,NA,NA,NA,NA,NA,NA
"m[1,3] f C",54.7752801066667,54.8008,55.2085535070413,14515.7,0.95,44.075,65.4786,NA,NA,NA,NA,NA,NA,NA
"m[2,3] fF C",45.98962428,45.99325,46.3703321182436,15000,0.95,34.9413,56.4107,NA,NA,NA,NA,NA,NA,NA
"m[3,3] L C",37.0477667533333,36.97975,36.8626573824737,8385.7,0.95,25.8974,48.6282,NA,NA,NA,NA,NA,NA,NA
"m[4,3] Lf C",24.5702089469333,24.5671,24.1398446957669,9887,0.95,13.8373,35.8836,NA,NA,NA,NA,NA,NA,NA
"m[5,3] LfF C",14.1375897640087,14.2091,14.5068595657611,7213.5,0.95,2.61014,25.4316,NA,NA,NA,NA,NA,NA,NA
"m[6,3] None C",68.5044132066667,68.4213,67.4586675519543,8799.9,0.95,57.4457,79.68,NA,NA,NA,NA,NA,NA,NA
"m[1,4] f D",76.20838514,76.25385,76.1628384867147,5522.6,0.95,64.3951,88.5985,NA,NA,NA,NA,NA,NA,NA
"m[2,4] fF D",61.4788883866667,61.44735,61.0594773019547,12426.5,0.95,50.7249,72.3793,NA,NA,NA,NA,NA,NA,NA
"m[3,4] L D",37.94330138,37.96295,37.2992037341477,6516.6,0.95,26.5442,49.5619,NA,NA,NA,NA,NA,NA,NA
"m[4,4] Lf D",40.4527541666667,40.50445,41.1378880955219,15000,0.95,29.7561,51.2199,NA,NA,NA,NA,NA,NA,NA
"m[5,4] LfF D",24.2563575926667,24.15945,23.3641492476372,4637.1,0.95,12.4105,37.4955,NA,NA,NA,NA,NA,NA,NA
"m[6,4] None D",84.88109796,84.9379,85.014223666027,5802.8,0.95,72.9305,97.0882,NA,NA,NA,NA,NA,NA,NA
"m[1,5] f E",35.8979926066667,35.9843,36.5098684313198,14412.5,0.95,24.9136,46.2223,NA,NA,NA,NA,NA,NA,NA
"m[2,5] fF E",31.4576194666667,31.3747,30.876758243261,15000,0.95,20.691,42.1222,NA,NA,NA,NA,NA,NA,NA
"m[3,5] L E",18.7002447329333,18.774,19.2721899386908,13085.3,0.95,7.4386,29.0684,NA,NA,NA,NA,NA,NA,NA
"m[4,5] Lf E",10.0044315210093,10.06365,11.3524054246692,13793.6,0.95,-0.794914,20.532,NA,NA,NA,NA,NA,NA,NA
"m[5,5] LfF E",4.88844315135807,4.87611,5.04934003518533,15000,0.95,-5.78508,15.3331,NA,NA,NA,NA,NA,NA,NA
"m[6,5] None E",45.2736100733333,45.29435,45.2075172169861,14441.6,0.95,34.7073,55.9344,NA,NA,NA,NA,NA,NA,NA
"m[1,6] f F",48.0031753533333,48.04835,48.1425650487861,12649.5,0.95,37.2536,58.4863,NA,NA,NA,NA,NA,NA,NA
"m[2,6] fF F",40.5847188666667,40.6659,40.7579215280822,15000,0.95,30.1213,51.4122,NA,NA,NA,NA,NA,NA,NA
"m[3,6] L F",25.6518685886667,25.6859,26.5073735478931,14583.4,0.95,15.2123,36.5163,NA,NA,NA,NA,NA,NA,NA
"m[4,6] Lf F",29.636640514,29.5948,28.7564626383826,10717.9,0.95,18.631,40.8412,NA,NA,NA,NA,NA,NA,NA
"m[5,6] LfF F",15.0495142910333,15.1084,14.9927039336411,14566.6,0.95,4.78273,26.0012,NA,NA,NA,NA,NA,NA,NA
