"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",1019.58386193333,1012.25,1053.00776541388,4395.2,0.95,937.21,1105.85,NA,NA,NA,NA,NA,NA,NA
"beta[1]",7.25679378845,7.68764,0.0200261060882845,2331.5,0.95,0,19.1943,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-2.75131506866667,-2.75684,-2.74432998304047,3354.2,0.95,-3.28478,-2.22843,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.628668165171767,0,0.00965593409532772,10870.3,0.95,-5.65411,0.0310773,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.315151260120667,0,-0.00262184517890951,9008.5,0.95,-0.0802323,3.67016,NA,NA,NA,NA,NA,NA,NA
"sigma",32.49072932,32.28805,32.12616988372,10928.2,0.95,24.8381,41.3188,NA,NA,NA,NA,NA,NA,NA
"delta[1]",0.606266666666667,1,1.00027571383379,1960.3,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",0.167,0,-0.000264225697701487,10867.7,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.206466666666667,0,0.000366313207689706,9169.1,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"sigmaBeta",2.58560675042,1.20681,0.533077917661601,416.2,0.95,0.0101306,9.60521,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.000814449804384667,-0.00149972,-0.00731860888153407,15000,0.95,-0.130826,0.123915,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",1.11985628169567,0.2164485,0.384938119459548,331.6,0.95,-12.3327,13.4053,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.984112431,-0.986088,-0.981614032423372,3354.2,0.95,-1.17483,-0.796991,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",3.41099465641534,-0.08414905,1.22673157819537,96.5,0.95,-33.068,33.3469,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-3.91434928984307,0.0755864,-0.201211601714647,91.2,0.95,-53.542,46.103,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.434248693466667,0.43154,0.429375819163948,10928.2,0.95,0.331969,0.552239,NA,NA,NA,NA,NA,NA,NA
"nu",36.078620458,27.0599,12.6967130084421,15000,0.95,2.06977,96.4339,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.41236706563901,1.43232618690004,1.52655881885139,15000,0.95,0.681247570790601,2.0961101750846,NA,NA,NA,NA,NA,NA,NA
