"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",1033.17049313333,1047.585,1053.17247072204,5558.8,0.95,958.452,1073.74,NA,NA,NA,NA,NA,NA,NA
"beta[1]",3.85514654146667,0,-0.0130493207154476,4078.2,0.95,0,17.0925,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-2.61538928266667,-2.584005,-2.50531587461961,6711.8,0.95,-3.17078,-2.1162,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.093932588,0,-0.00488190909791264,13454.8,0.95,0,0,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.108271448053333,0,0.0034688922130286,9562.2,0.95,0,0.124379,NA,NA,NA,NA,NA,NA,NA
"sigma",33.7230697133333,33.4648,32.7886854442319,10812.2,0.95,25.9478,42.3286,NA,NA,NA,NA,NA,NA,NA
"delta[1]",0.301266666666667,0,0.000210149049391262,3700.7,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",0.0228,0,0.000161372902787171,13942.3,0.95,0,0,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.0505333333333333,0,0.000784433162593107,10181.4,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"sigmaBeta",10,10,9.992278092193,0,0.95,10,10,NA,NA,NA,NA,NA,NA,NA
"zbeta0",0.000498218944166667,0.0005786725,0.00422191597148019,15000,0.95,-0.129158,0.133251,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-1.54958315773533,0.226107,-0.962019255167888,1634.9,0.95,-86.1146,70.3561,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.935493383533333,-0.9242675,-0.896121543105118,6711.8,0.95,-1.13415,-0.756941,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-1.5311787591548,-0.1014105,-0.802274349427535,1660.8,0.95,-111.95,127.362,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",3.46204593657884,0.155979,0.710340523053674,534.5,0.95,-110.728,130.02,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.450719297733333,0.447267,0.438230849246949,10812.2,0.95,0.3468,0.565734,NA,NA,NA,NA,NA,NA,NA
"nu",38.6551310746667,29.61415,13.2622212573278,15000,0.95,2.2013,101.834,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.45049284452251,1.47149926275766,1.55373147941152,15000,0.95,0.752111473595583,2.12371774007335,NA,NA,NA,NA,NA,NA,NA
