"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",1033.01140886667,1046.79,1052.67188346239,10032.3,0.95,954.517,1074.41,NA,NA,NA,NA,NA,NA,NA
"beta[1]",3.88754561412067,0,0.0250462105653249,8137.7,0.95,0,16.7768,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-2.610859734,-2.584815,-2.53221046918177,10273.3,0.95,-3.17131,-2.1113,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.155644671426667,0,-0.00716087749576744,13819.1,0.95,0,0,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.133712355416667,0,0.00429708313862687,14171.3,0.95,0,1.67001,NA,NA,NA,NA,NA,NA,NA
"sigma",33.6135310266667,33.3815,33.0687992787658,12859.5,0.95,25.6866,42.5444,NA,NA,NA,NA,NA,NA,NA
"delta[1]",0.316133333333333,0,0.0011021557708667,7962.1,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",0.0431333333333333,0,-0.00069152386915336,14193.1,0.95,0,0,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.0738,0,0.000705251364232398,14028,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"sigmaBeta",3.59878002202667,1.913835,0.785045558555522,2930.7,0.95,0.0257494,12.6109,NA,NA,NA,NA,NA,NA,NA
"zbeta0",0.001000773845994,0.000809889,0.00964580944914062,15000,0.95,-0.133739,0.129616,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-1.35082819624753,0.1995225,0.600979673109237,912.8,0.95,-34.4465,28.9924,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.933873224866667,-0.924556,-0.905740337230589,10273.3,0.95,-1.13434,-0.755185,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-5.1022246565564,-0.0577295,-0.197633072487179,177.2,0.95,-47.536,44.3726,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.347382600256992,0.0713826,-0.380739475705582,1574.3,0.95,-38.907,39.6581,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.4492552812,0.446154,0.441975146985596,12859.5,0.95,0.34331,0.568619,NA,NA,NA,NA,NA,NA,NA
"nu",37.9682756326667,28.8861,13.7636575053576,15277,0.95,2.16823,101.504,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.4426106589401,1.46068890888749,1.46126045295383,15000,0.95,0.75231125096635,2.11097669957708,NA,NA,NA,NA,NA,NA,NA
